FECHA,GRAVA m3,GRAVILLA m3,ARENA m3,PIEDRAS m3,TIERRA m3,TOTAL m3,MACRODISTRITO DONDE SE ENTREGO
2022-01-20,0.0,16.0,0.0,0,0,16.0,Centro
2022-02-11,0.0,10.0,0.0,0,0,10.0,Centro
2022-02-17,0.0,0.0,33.0,0,0,33.0,Centro
2022-04-20,0.0,0.0,2.5,0,0,2.5,Sur
2022-05-26,0.0,0.0,1.75,0,0,1.75,Centro
2022-07-07,6.0,0.0,0.0,0,0,6.0,Centro
2022-07-21,12.0,0.0,0.0,13,0,25.0,Sur
2022-07-26,0.0,42.0,0.0,0,0,42.0,Sur
2022-08-17,0.0,0.0,0.0,4,0,4.0,Sur
2022-09-16,0.0,4.0,4.0,0,0,8.0,Cotahuma
2022-10-26,0.125,0.125,0.25,0,0,0.5,Centro
2022-10-26,3.0,20.0,0.0,0,0,23.0,Sur
2022-10-27,0.5,0.0,0.0,0,0,0.5,Cotahuma
2022-11-16,3.0,3.0,0.125,0,0,6.125,Cotahuma
2022-11-17,0.0,0.0,0.0,0,5,5.0,Sur
2022-12-16,12.0,0.0,0.0,0,0,12.0,Cotahuma
2022-12-22,0.0,0.0,0.0,0,18,18.0,Sur
2022-12-23,2.5,0.0,0.0,0,0,2.5,San Antonio
2022-12-27,2.0,0.0,0.0,0,0,2.0,Cotahuma
