GESTION,MES,COMUNES KG,PAPEL Y CARTON KG,VIDRIO KG,METAL KG,PLASTICOS KG,PATOGENOS KG,PODA KG,ORGANICO KG,DIFERENCIADO PARTICULAR KG,PAPEL PLASTICO KG,TOTAL KG,MALLASA KG,TOTAL GLOBAL SAKA CHURU_MALLASA KG,TOTAL TON
2019,1,13622500,4880,2669,130,2270,140900,54130,0.0,0.0,0.0,13827479,0.0,0.0,13827.479
2019,2,23643250,11980,4080,920,5960,235130,139070,0.0,0.0,0.0,24040390,0.0,0.0,24040.39
2019,3,20693920,9230,3120,380,4230,215890,125960,0.0,0.0,0.0,21052730,0.0,0.0,21052.73
2019,4,19857440,7390,3680,370,4240,222200,127230,0.0,0.0,0.0,20222550,0.0,0.0,20222.55
2019,5,19851460,7590,2830,230,5080,233200,120270,0.0,0.0,0.0,20220660,0.0,0.0,20220.66
2019,6,18440060,5270,3230,210,3590,211140,120230,0.0,0.0,0.0,18783730,0.0,0.0,18783.73
2019,7,18907340,6250,3890,1100,4850,214060,141000,0.0,0.0,0.0,19278490,0.0,0.0,19278.49
2019,8,17852120,8300,4640,430,4420,208790,128090,0.0,0.0,0.0,18206790,0.0,0.0,18206.79
2019,9,16904300,7600,5070,430,4940,196310,134340,0.0,0.0,0.0,17252990,0.0,0.0,17252.99
2019,10,19461990,4400,2860,330,4960,239420,135050,0.0,0.0,0.0,19849010,0.0,0.0,19849.01
2019,11,15759020,5650,1570,130,3770,204270,71670,0.0,0.0,0.0,16046080,0.0,0.0,16046.08
2019,12,22081900,10150,5500,490,4770,216380,132920,0.0,0.0,0.0,22452110,0.0,0.0,22452.11
2020,1,22424430,16330,5460,650,9980,241700,148900,0.0,0.0,0.0,22847450,0.0,0.0,22847.45
2020,2,21534840,10870,5460,530,6490,224620,137630,0.0,0.0,0.0,21920440,0.0,0.0,21920.44
2020,3,22018550,9570,7140,680,6300,223890,144490,0.0,0.0,0.0,22410620,0.0,0.0,22410.62
2020,4,17765260,5430,1550,260,4630,179850,53390,0.0,0.0,0.0,18010370,0.0,0.0,18010.37
2020,5,17693510,0,2310,340,5460,208330,71320,0.0,0.0,0.0,17981270,0.0,0.0,17981.27
2020,6,18615240,0,4870,530,5010,201180,109770,0.0,0.0,0.0,18936600,0.0,0.0,18936.6
2020,7,17952350,0,3170,470,5510,218280,90990,0.0,0.0,0.0,18270770,0.0,0.0,18270.77
2020,8,16657790,0,4260,350,3490,206110,77850,0.0,0.0,0.0,16949850,0.0,0.0,16949.85
2020,9,18125090,0,4110,410,5330,218840,115070,0.0,0.0,0.0,18468850,0.0,0.0,18468.85
2020,10,18894040,5580,6050,540,6650,216850,140550,0.0,0.0,0.0,19270260,0.0,0.0,19270.26
2020,11,19052860,6280,8050,650,5600,198300,135220,0.0,0.0,0.0,19406960,0.0,0.0,19406.96
2020,12,21636410,12920,6010,510,7160,233830,134900,0.0,0.0,0.0,22031740,0.0,0.0,22031.74
2021,1,21512550,12480,8740,470,11770,233850,117790,0.0,0.0,0.0,21897650,0.0,0.0,21897.65
2021,2,18826730,6900,7110,590,10920,231590,91540,0.0,0.0,0.0,19175380,0.0,0.0,19175.38
2021,3,21313900,10840,7650,600,6610,244970,163910,0.0,0.0,0.0,21748480,0.0,0.0,21748.48
2021,4,17958170,4060,4870,590,5130,235180,110420,0.0,0.0,0.0,18318420,0.0,0.0,18318.42
2021,5,21292330,8330,6350,1530,8000,265330,68090,0.0,0.0,0.0,21649960,0.0,0.0,21649.96
2021,6,19058690,8880,6690,710,8920,243140,194030,0.0,0.0,0.0,19521060,0.0,0.0,19521.06
2021,7,19759730,7220,6650,470,8010,254030,182190,0.0,0.0,0.0,20218300,0.0,0.0,20218.3
2021,8,19358300,8400,7700,730,9520,243300,129340,0.0,0.0,0.0,19757290,0.0,0.0,19757.29
2021,9,18102290,8150,6490,610,5730,233660,128700,0.0,0.0,0.0,18485630,0.0,0.0,18485.63
2021,10,19103870,9800,5990,600,7510,230600,152020,0.0,0.0,0.0,19510390,0.0,0.0,19510.39
2021,11,19356400,7410,7370,770,6300,228180,153700,0.0,0.0,0.0,19760130,0.0,0.0,19760.13
2021,12,22304742,2700,5300,450,11630,206450,138670,0.0,0.0,0.0,22669942,0.0,0.0,22669.942
2020,1,21526704,5750,10750,690,9030,72950,142440,0.0,0.0,0.0,0,0.0,0.0,21768314.0
2020,2,19525617,8790,5630,560,4840,67710,161080,0.0,0.0,0.0,1930,0.0,0.0,19776157.0
2020,3,21394640,13830,6240,540,10570,75110,224010,0.0,0.0,0.0,8670,0.0,0.0,21733610.0
2020,4,19714000,8410,5640,410,7540,67970,291270,0.0,0.0,0.0,0,0.0,0.0,20095240.0
2020,5,19583320,7230,8090,600,6330,69700,312650,0.0,0.0,0.0,0,0.0,0.0,19987920.0
2020,6,18355970,8990,5110,440,6550,65740,350540,0.0,0.0,0.0,0,0.0,0.0,18793340.0
2020,7,15656700,4590,4290,400,4320,54330,240300,0.0,0.0,0.0,160,0.0,0.0,15965090.0
2020,8,18868390,12850,8440,640,7660,74990,418040,0.0,0.0,0.0,6500,0.0,0.0,19397510.0
2020,9,18249150,5760,4390,250,9010,77520,435340,0.0,0.0,0.0,280,0.0,0.0,18781700.0
2020,10,18634290,7480,7500,560,6140,68900,485920,0.0,0.0,0.0,120,0.0,0.0,19210910.0
2020,11,13330800,8030,4630,430,3560,45680,320820,0.0,0.0,0.0,1170,0.0,0.0,13715120.0
2020,12,21054570,9700,6000,520,9210,66460,585460,0.0,0.0,0.0,270,0.0,0.0,21732190.0
2023,1,20730420,12700,8660,560,6820,69190,694820,0.0,0.0,2840.0,21526010,84370.0,21610380.0,21610.38
2023,2,18614390,14050,6130,470,7720,61860,787650,0.0,240.0,8190.0,19500700,63450.0,19564150.0,19564.15
2023,3,19887920,11100,5590,550,8530,72810,911180,123010.0,0.0,11130.0,21031820,0.0,21031820.0,21031.82
2023,4,18701430,9920,5350,450,5120,68180,688060,64230.0,120.0,12440.0,19555300,49070.0,19604370.0,19604.37
2023,5,19163010,9820,5530,470,7460,73130,814260,7090.0,0.0,10580.0,20080770,121800.0,20202570.0,20202.57
2023,6,17734180,7040,4170,320,9590,67850,718670,3560.0,380.0,10130.0,18545760,104510.0,18650270.0,18650.27
2023,7,18105660,7410,4710,520,6830,66470,782830,5700.0,0.0,10940.0,18980130,115780.0,19095910.0,19095.91
2023,8,17674370,8290,4390,440,6390,71340,682750,3820.0,10.0,10970.0,18462770,100650.0,18563420.0,18563.42
2023,9,17709170,7400,4150,210,7770,70460,944800,5180.0,240.0,12450.0,18761830,97820.0,18859650.0,18859.65
